                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4324,                 1.4038,                 1.8757,                 0.7878,                0.70133,                0.77973,                 0.4543,                 1.5073,                 1.2366,                  2.056,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4097,                 1.3776,                 1.8486,                 0.8028,                0.71879,                0.78208,                0.45366,                 1.4787,                 1.2236,                 2.0196,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.4044,                  1.397,                 1.8323,                0.78599,                0.68862,                0.77074,                0.46361,                 1.4976,                 1.1729,                 2.0006,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3927,                 1.3607,                  1.819,                0.82968,                0.68456,                0.79904,                0.46639,                 1.4776,                 1.2226,                 2.0146,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4021,                 1.3577,                 1.8338,                0.77768,                 0.7559,                 0.8113,                0.47887,                 1.4307,                 1.1481,                 1.9728,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.3982,                 1.3632,                 1.8355,                0.73992,                0.64027,                0.69622,                0.38016,                 1.5876,                 1.3097,                 2.1141,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.3913,                 1.3623,                 1.8182,                0.79329,                0.70602,                0.79039,                0.45258,                 1.4856,                 1.1841,                 2.0076,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4306,                 1.3488,                 1.8489,                0.72119,                0.68991,                0.73703,                0.41904,                 1.6011,                 1.1931,                 2.1173,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.3849,                 1.3068,                 1.8018,                 0.8517,                 0.7196,                0.80672,                0.47791,                 1.4822,                 1.1583,                 2.0025,             0.00099036,             0.00099036,             0.00099036
                     43,                  1.377,                 1.3138,                  1.803,                0.80166,                0.75823,                0.80819,                0.48532,                 1.4093,                 1.1181,                 1.9665,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.3677,                 1.3226,                 1.8108,                0.85006,                0.73759,                0.81574,                0.48527,                 1.4033,                 1.1266,                 1.9352,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.3555,                 1.2817,                 1.7903,                0.82432,                 0.7062,                0.79929,                0.45617,                  1.529,                 1.1073,                 2.0329,             0.00094085,             0.00094085,             0.00094085
                     46,                  1.382,                 1.3175,                 1.8083,                0.81898,                0.74052,                0.80747,                0.49232,                 1.3797,                 1.0801,                 1.9268,             0.00092435,             0.00092435,             0.00092435
                     47,                  1.325,                 1.2868,                 1.7723,                0.83407,                0.71921,                0.81092,                0.48848,                 1.3958,                 1.0821,                  1.924,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.3634,                 1.2599,                 1.7837,                0.78839,                0.72279,                0.79801,                 0.4848,                 1.4077,                 1.1718,                 1.9241,             0.00089134,             0.00089134,             0.00089134
